交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-02 18:50:47.655236,,100053454956,110339775100053454956,,7100053454956750556396883415040,1046152001668280610122,OS2018030218512137796,,jdpay.NATIVE,交易,,,222500,0,,,,,,京东支付,,-601,27,221899,,,,,
2018-03-02 17:59:03.249497,,100053454956,110339775100053454956,,7100053454956750504313542545408,1034152001355178915529,OS2018030217590553513,,jdpay.NATIVE,交易,,,299500,0,,,,,,京东支付,,-809,27,298691,,,,,
2018-03-02 17:41:01.004362,,100053454956,110339775100053454956,,7100053454956750486156618633216,1021152001246837476072,OS2018030217410887808,,jdpay.NATIVE,交易,,,185400,0,,,,,,京东支付,,-501,27,184899,,,,,
2018-03-02 14:44:35.954481,,100053454956,110339775100053454956,,7100053454956750308568428843008,1013152000191010764278,OS2018030214450941330,,jdpay.NATIVE,交易,,,298000,0,,,,,,京东支付,,-805,27,297195,,,,,
2018-03-02 14:40:37.620260,,100053454956,110339775100053454956,,7100053454956750304570434523136,1015152000164506254689,OS2018030214404567630,,jdpay.NATIVE,交易,,,299000,0,,,,,,京东支付,,-807,27,298193,,,,,
2018-03-02 12:53:53.193059,,100053454956,110339775100053454956,,7100053454956750197121744506880,1037151999524079279227,OS2018030212540019700,,jdpay.NATIVE,交易,,,280000,0,,,,,,京东支付,,-756,27,279244,,,,,
2018-03-02 11:42:36.385167,,100053454956,110339775100053454956,,7100053454956750125369182523392,1032151999099062278798,OS2018030211430956758,,jdpay.NATIVE,交易,,,121500,0,,,,,,京东支付,,-328,27,121172,,,,,
2018-03-02 10:00:29.104839,,100053454956,110339775100053454956,,7100053454956750022569878491136,1029151998486280451074,OS2018030210010278428,,jdpay.NATIVE,交易,,,51300,0,,,,,,京东支付,,-139,27,51161,,,,,
2018-03-02 09:06:11.218842,,100053454956,110339775100053454956,,7100053454956749967912057049088,1044151998157840524740,OS2018030209061887390,,jdpay.NATIVE,交易,,,299800,0,,,,,,京东支付,,-809,27,298991,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
9,2057000,0,2057000,-5555
